Year,Regn,Aslt,Fraud,Drug,Thief,Popln,Incme,StnNo,Police,Float,Unemp,CPI,Aging,Dens,Estab,Multi,Crime_Aslt,Crime_Fraud,Crime_Drug,Crime_Thief,Crime
2020,경기포천,439,995,87,414,159389,2253022,14,377,164,3.5,115.8,200.4,192.6779735,153,1800,275.426786,624.2588886,54.58344051,259.7418893,1214.011005
2020,경기하남,657,1472,11,823,295620,2218910,6,296,292,2.3,115.8,84.7,3179.393418,49,1417,222.2447737,497.9365402,3.720993167,278.3979433,1002.30025
2020,경기화성,2124,4281,120,1898,892884,2844181,17,900,907,3.8,115.8,46.8,1274.14701,280,7254,237.8808445,479.4575779,13.43959574,212.5696059,943.3476241
2019,경기고양,2808,5489,114,2399,1078859,2054401,18,560,1000,3.6,115.2,101.7,4023.341413,91,5360,260.2749757,508.7782555,10.5667191,222.3645537,1001.984504
2019,경기과천,123,228,4,190,58462,2548870,2,188,48,3.1,115.2,108.2,1629.829941,2,157,210.3930758,389.9969211,6.842051247,324.9974342,932.2294824
2019,경기광명,998,1504,29,1061,322494,2245182,6,494,319,4.9,115.2,98.2,8372.11838,184,2402,309.4631218,466.3652657,8.992415363,328.998369,1113.819172
2019,경기광주,1044,1669,36,764,385640,2235715,9,447,384,4.2,115.2,87.3,894.777141,35,3010,270.7188051,432.7870553,9.33513121,198.112229,910.9532206
2019,경기구리,944,1125,13,831,200755,1931853,5,373,194,4.2,115.2,99.4,6021.445711,195,926,470.224901,560.3845483,6.475554781,413.9373864,1451.02239
2019,경기군포,708,1180,15,654,282862,2268491,5,402,281,4,115.2,96.2,7766.666667,102,2290,250.2987322,417.1645537,5.302939242,231.208151,903.9743762
2019,경기김포,1077,2381,26,977,457556,2328460,12,508,438,4,115.2,67.8,1654.215474,111,3630,235.3810244,520.3734625,5.682364563,213.5257761,974.9626275
2019,경기남양주,1440,3030,44,1504,709307,1956864,17,747,621,4.2,115.2,88.2,1548.299572,110,3491,203.0150555,427.1775127,6.203237808,212.0379469,848.4337529
2019,경기동두천,349,698,22,352,98245,1913721,5,227,89,5.2,115.2,167.4,1026.80811,181,1002,355.2343631,710.4687261,22.3929971,358.2879536,1446.38404
2019,경기부천,2944,6182,76,3706,855685,2096711,14,1516,878,4.4,115.2,108.6,16006.07931,494,9057,344.0518415,722.462121,8.881773082,433.1033032,1508.499039
2019,경기성남,2765,5429,247,3250,960342,2783272,23,1031,941,4.8,115.2,111.2,6780.639695,331,5866,287.9182625,565.3194383,25.72000392,338.4211041,1217.378809
2019,경기수원,4643,8195,137,5180,1235022,2854306,23,1878,1253,4.1,115.2,75.9,10198.36499,377,9482,375.94472,663.5509327,11.0929198,419.4257268,1470.014299
2019,경기시흥,1844,2727,94,1769,508379,2491439,12,760,536,4.7,115.2,58.6,3633.095119,288,7873,362.7215129,536.4108274,18.4901422,347.9687399,1265.591222
2019,경기안산,2917,4367,111,2971,707385,2485827,22,1321,751,5.1,115.2,88,4520.898575,431,11284,412.3638471,617.3441619,15.69159651,419.9975968,1465.397202
2019,경기안성,681,940,42,651,195207,2478653,10,338,225,3,115.2,130.4,352.6966231,83,1840,348.8604405,481.5401087,21.51562188,333.4921391,1185.40831
2019,경기안양,1792,2785,82,1745,574464,2452577,10,924,570,5,115.2,105.3,9819.897436,384,2885,311.942959,484.7997438,14.27417558,303.7614193,1114.778298
2019,경기양주,671,911,24,465,229778,2108756,27,335,214,4.4,115.2,109.5,740.0257649,85,1786,292.0209942,396.4696359,10.44486417,202.3692434,901.3047376
2019,경기여주,324,603,38,420,114659,2136861,11,275,115,1.8,115.2,183.9,188.5249675,41,810,282.5770328,525.9072554,33.14175076,366.303561,1207.9296
2019,경기오산,955,949,31,927,236075,2173516,4,344,238,4.6,115.2,53.7,5529.983603,135,2939,404.5324579,401.9908927,13.1314201,392.6718204,1212.326591
2019,경기용인,2022,4007,59,2345,1078591,2577532,22,1062,994,4.1,115.2,82.2,1824.286246,198,5018,187.466797,371.5031926,5.470099417,217.4132734,781.8533624
2019,경기의왕,269,620,17,277,162344,2348711,4,233,155,4.5,115.2,106,3004.701092,16,633,165.6975312,381.9050904,10.47159119,170.6253388,728.6995516
2019,경기의정부,2227,2549,123,1604,456776,1811230,7,761,430,4.5,115.2,118,5601.177192,265,2433,487.5475069,558.0415784,26.92785961,351.1568033,1423.673748
2019,경기이천,861,1297,28,829,223349,3006602,13,380,245,2.7,115.2,93.7,483.8688013,107,1509,385.4953458,580.7055326,12.53643401,371.1679927,1349.905305
2019,경기파주,986,2707,32,939,465612,2239853,13,587,453,2.4,115.2,86.5,690.9522608,138,3172,211.7643016,581.3853595,6.872675103,201.67006,1001.692396
2019,경기평택,2356,4009,84,2185,537135,2706768,16,829,533,3.6,115.2,80.9,1171.300536,660,5539,438.6234373,746.3673006,15.63852663,406.7878652,1607.41713
2019,경기포천,501,1121,105,523,161643,2197816,14,370,174,2.6,115.2,177.7,195.4027296,155,1748,309.9422802,693.5035851,64.95796292,323.5525201,1391.956348
2019,경기하남,581,1016,24,737,274734,2164540,6,283,269,2.9,115.2,78.9,2954.764465,46,1265,211.4772835,369.8122548,8.735722553,268.2594801,858.2847409
2019,경기화성,2465,3494,124,2151,855949,2774490,17,869,875,3.1,115.2,43.8,1221.440701,276,6661,287.9844477,408.2018905,14.48684443,251.300019,961.9732017
2023,서울종로구,905,2032,100,1173,150453,3854183,20,599,145,3.4,129.2,280.8,6292.471769,188,1208,601.5167527,1350.587891,66.46593953,779.6454707,2798.216054
2023,서울중구,1001,2094,73,1523,131793,3999089,15,514,138,3.1,129.2,302.1,13232.22892,218,1365,759.5244057,1588.85525,55.38989172,1155.60007,3559.369618
2023,서울용산구,1018,1643,200,971,227106,3254123,7,842,242,3.5,129.2,231.5,10384.36214,23,2256,448.2488353,723.4507235,88.06460419,427.5536534,1687.317816
2023,서울성동구,548,1829,95,891,284766,3173520,9,639,295,3.1,129.2,199,16930.20214,22,2120,192.4387041,642.2817331,33.36072424,312.8884769,1180.969638
2023,서울광진구,842,2075,100,1619,351180,2559723,10,759,380,3.7,129.2,218.3,20584.99414,13,2745,239.7630845,590.8650834,28.47542571,461.0171422,1320.120736
2023,서울동대문구,839,2074,102,1278,359873,2606439,11,828,342,3.9,129.2,231.3,25307.52461,62,2562,233.1378014,576.314422,28.34333223,355.1252803,1192.920836
2023,서울중랑구,913,2003,86,1400,387470,2300409,8,781,412,3.3,129.2,257.9,20944.32432,17,2687,235.6311456,516.9432472,22.19526673,361.3182956,1136.087955
2023,서울성북구,731,2209,78,982,438168,2335893,10,517,432,3.4,129.2,199.4,17826.20016,8,2428,166.8309872,504.144529,17.80139125,224.1149513,912.8918588
2023,서울강북구,817,1739,93,917,292977,2120878,9,689,292,3.8,129.2,333.6,12414.27966,68,2117,278.8614806,593.561952,31.74310611,312.9938528,1217.160391
