,2018,2019,2020,2021,2022
경상북도 예천군,1674278,1730681.33,1770437.843,1853280.233,1961778.305
경상북도 봉화군,1656411,1712212.423,1751544.677,1833503.017,1940843.255
경상북도 울진군,2024425,2092624.134,2140695.052,2240862.531,2372051.143
경상북도 울릉군,1816841,1875392.541,1915794.13,2003365.087,2124980.023
경상남도 창원시,2395638,2472842.498,2526114.954,2641583.678,2801941.882
경상남도 진주시,2207642,2278787.93,2327879.867,2434287.265,2582061.472
경상남도 통영시,1803966,1862102.617,1902217.901,1989168.289,2109921.403
경상남도 사천시,2370039,2446418.516,2499121.72,2613356.583,2772001.253
경상남도 김해시,2221890,2293495.102,2342903.876,2449998.021,2598725.955
경상남도 밀양시,1960781,2023971.312,2067573.734,2162082.537,2293332.468
경상남도 거제시,2607185,2691207.047,2749183.732,2874848.93,3049367.578
경상남도 양산시,2292033,2365898.608,2416867.171,2527342.179,2680765.315
경상남도 의령군,1970021,2033509.091,2077316.985,2172271.152,2304139.586
경상남도 함안군,2438629,2517218.974,2571447.432,2688988.304,2852224.222
경상남도 창녕군,2135205,2204016.494,2251497.63,2354413.595,2497339.046
경상남도 고성군,2076405,2143321.54,2189495.124,2289576.955,2428566.476
경상남도 남해군,1649370,1702524.434,1739201.925,1818700.852,1929105.684
경상남도 하동군,1764796,1821670.281,1860914.531,1945976.942,2064108.111
경상남도 산청군,1780185,1837555.224,1877141.684,1962945.837,2082107.109
경상남도 함양군,1740939,1797044.439,1835758.175,1919670.688,2036204.927
경상남도 거창군,1755211,1811776.384,1850807.49,1935407.908,2052897.48
경상남도 합천군,1700104,1754893.445,1792699.121,1874643.405,1988444.248
제주특별자치도 제주시,2015490,2075428.008,2095089.581,2183149.597,2334364.97
제주특별자치도 서귀포시,1969949,2028532.679,2047749.989,2133820.245,2281618.831
